"people","personnes"
"Help","Aide"
"Subscribe to our newsletter","Je m'inscris à la newsletter"
"By Email","Par Email"
"Phone : France : 0 494 885 790 - International : +33 494 885 790","Tél : France : 0 494 885 790 - International : +33 494 885 790"
"My account","Mon compte"
"Login","Connexion"
"Logout","Déconnexion"
"item(s)","article(s)"
"Searching for...","Saisissez votre recherche..."
"Search by SKU...","Recherche par référence..."
"The Motorsport store","La boutique du Sport Automobile"
"Items %s to %s of %s total","Articles %s à %s sur %s"
"Add gift options.","Cochez cette case s'il s'agit d'un cadeau"
